"Affiliated entity","Affiliated entity ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who made improvements in function","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay high-risk residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay low-risk residents who lose control of their bowels or bladder","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF","Average percentage of current residents up to date with COVID-19 vaccines","Average percentage of healthcare personnel up to date with COVID-19 vaccines"
National,"",14900,53,84,440,1240,8.3,71.9,21.8,6.3,2.9,2.8,2.7,3.5,3.8,3.3,0.7,52.7,49.6,0.7,33765,2.3,560118545.3,37576.72,3150,0.2,23,12.6,1.7,2.6,76.7,76.2,79.7,1.84,1.19,14.7,3.4,7.8,2.2,1.3,15.4,14.2,94.7,92,0.1,48.5,5.9,8.9,19.4,10.6,33.2,7.5
"A&M HEALTHCARE INVESTMENTS",641,2,2,0,0,0,0,50,50,0,2,2.5,1,2.5,3.4,3.1,0.5,68,85.7,1,13,6.5,369315.74,184657.87,3,1.5,19.9,4.9,0,8.1,88.6,88.9,94.2,3.07,1.62,19.3,3.2,10.2,0.7,2.2,14.7,15.4,96.5,99.7,0,40.1,9.3,3.2,39.1,10.3,10.9,0
"ABBY GL, LLC",1,6,1,0,0,1,16.7,100,0,0,2.5,2.3,3.3,3.7,4.1,3.7,0.5,40.9,41,1.5,6,1,103298.75,17216.46,1,0.2,24.7,12.7,1,0.9,86.7,99.9,99.8,2.46,1.43,4.8,1.6,5.7,0.6,0.6,7.1,4,99.8,100,0.4,21,2.4,3,18.8,10.6,31.6,5.5
"ABCM CORPORATION",2,29,1,0,0,0,0,100,0,0,4.1,4.1,3.4,3.1,3.7,3.2,0.6,46.9,43.2,1.1,13,0.4,104615.35,3607.43,2,0.1,20.4,10.1,2.4,1.7,86.5,74.5,90.1,1.4,1.43,22,3.6,5.4,4.1,2.7,19.3,15.5,96.8,97.2,0,48.1,4.6,3.6,19,10.1,59.6,9.6
ABLEHEARTS,3,16,4,1,0,2,12.5,12.5,87.5,0,2.1,2.3,1.4,3.5,3.4,3.1,0.5,63.9,64,1.1,70,4.4,2313477.15,144592.32,19,1.2,27.3,13.1,1.6,1.6,79.1,61.7,70.7,2.04,1.27,13.1,2.5,8.1,1.1,0.6,12.4,10.7,89.6,91.4,0,55.5,5.2,11.6,17.7,11.7,33.6,2.5
"ABRAHAM BAK & MENACHEM GASTWIRTH",4,13,1,0,0,0,0,100,0,0,2.9,2.3,3.2,4.5,4.4,4,0.3,46.9,42.7,0.6,14,1.1,207093.26,15930.25,1,0.1,25.5,8.1,2.6,0.9,92,99,98.4,2.33,0.76,11.7,1.4,8.8,1.2,0.7,6.1,8.1,99.7,99.5,0.1,28,5.2,9.7,15.3,11.2,32.4,4.1
"ABRAHAM KRAUS",615,11,3,0,0,0,0,100,0,0,2.5,2.6,2.3,3.3,3.3,3,0.4,50.5,56.2,0.7,24,2.2,231029.38,21002.67,1,0.1,23.1,8.9,1.8,1.9,74.5,71.9,74.2,1.77,0.66,12.6,1.6,7.6,1,0.7,16.2,14.9,96.1,87.9,0,45.2,6.5,6.5,18.2,10.9,32.2,11.7
"ABRI HEALTH CARE",5,10,1,0,0,0,0,90,0,10,1.8,2.1,1.3,3.3,3.3,2.8,0.4,56.1,66.5,0.7,22,2.2,478526,47852.6,3,0.3,26.9,11,1.9,2.2,68.4,57.6,63.4,1.88,1.4,6.9,3.4,7.6,0.5,1,14.4,12.7,92.5,86.6,0,65.6,6.7,3.9,24.8,11.1,12,0.5
"ABSOLUT CARE",6,10,1,0,0,0,0,100,0,0,3.6,3.4,1.8,4.4,3.5,3,0.5,43.5,38.1,0.4,19,1.9,59455.83,5945.58,0,0,21.8,8.8,1.5,2.3,81.9,72.1,68.8,2.14,0.82,11.5,1.8,9.8,0.5,0.4,8.9,10,92.3,90.9,0.4,62.3,6.2,15.8,12.5,10.7,48.5,9.6
"ACCOLADE HEALTHCARE",7,6,1,0,0,1,16.7,100,0,0,1.7,2,1.3,3.7,3.5,3,0.7,57.6,54.6,"",25,4.2,340453.69,56742.28,3,0.5,25.3,10.5,1.1,2.5,77.5,65.1,83.6,1.91,1.13,12.7,3.2,10.1,1,1.4,15.3,11,94,90.9,0.1,52.9,11.2,43.1,17.8,12.1,41.4,10.4
